Record Length,14000
Sample Interval,CH1:0.0000000020000 CH2:0.0000000020000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:2.00 CH2:10.00,,,
Vertical Offset,CH1:0.00 CH2:0.00,,,
Horizontal Units,us,,,
Horizontal Scale,2.0000000000,,,
Model Number,SDS1202X-E,,,
Serial Number,SDS1EBAX1R1121,,,
Software Version,5.1.3.8R2,,,
Source,CH1,CH2
Second,Volt,Volt
 0.00000074200,4.72000,3.60000
 0.00000074400,4.72000,4.00000
 0.00000074600,4.72000,4.00000
 0.00000074800,4.72000,4.00000
 0.00000075000,4.80000,3.60000
 0.00000075200,4.64000,4.00000
 0.00000075400,4.72000,4.00000
 0.00000075600,4.64000,4.00000
 0.00000075800,4.72000,4.00000
 0.00000076000,4.64000,4.00000
 0.00000076200,4.72000,4.00000
 0.00000076400,4.80000,3.60000
 0.00000076600,4.72000,4.00000
 0.00000076800,4.80000,4.00000
 0.00000077000,4.72000,4.00000
 0.00000077200,4.72000,3.60000
 0.00000077400,4.80000,3.60000
 0.00000077600,4.80000,4.00000
 0.00000077800,4.72000,4.00000
 0.00000078000,4.72000,4.00000
 0.00000078200,4.80000,3.60000
 0.00000078400,4.80000,4.00000
 0.00000078600,4.72000,4.00000
 0.00000078800,4.64000,4.00000
 0.00000079000,4.80000,4.00000
 0.00000079200,4.80000,4.00000
 0.00000079400,4.72000,4.00000
 0.00000079600,4.72000,3.60000
 0.00000079800,4.80000,4.00000
 0.00000080000,4.64000,4.00000
 0.00000080200,4.72000,4.00000
 0.00000080400,4.72000,3.60000
 0.00000080600,4.56000,3.60000
 0.00000080800,4.72000,3.60000
 0.00000081000,4.64000,4.00000
 0.00000081200,4.64000,3.60000
 0.00000081400,4.72000,3.60000
 0.00000081600,4.72000,3.60000
 0.00000081800,4.72000,3.60000
 0.00000082000,4.64000,4.00000
 0.00000082200,4.72000,3.60000
 0.00000082400,4.72000,4.00000
 0.00000082600,4.72000,3.60000
 0.00000082800,4.72000,4.00000
 0.00000083000,4.72000,4.00000
 0.00000083200,4.72000,4.00000
